,source,tag1,relation_label,target,tag2
701,Acromicric Dysplasia,RAREDISEASE,Produces,short broad phalanges,SIGN
702,Acromicric Dysplasia,RAREDISEASE,Produces,short metacarpals,SIGN
703,Acromicric Dysplasia,RAREDISEASE,Produces,short metatarsals,SIGN
704,Acromicric Dysplasia,RAREDISEASE,Produces,epiphyseal coning of the phalanges in the toes,SIGN
705,Acromicric Dysplasia,RAREDISEASE,Produces,pointing of the last four metacarpals,SIGN
706,Acromicric Dysplasia,RAREDISEASE,Produces,abnormal notch on the radial side of the 2nd metacarpal,SIGN
707,Acromicric Dysplasia,RAREDISEASE,Produces,abnormal notch on the ulnar side of the 5th metacarpal,SIGN
708,Acromicric Dysplasia,RAREDISEASE,Produces,abnormal organization of chondrocytes,SIGN
709,Acromicric Dysplasia,RAREDISEASE,Produces,abnormal organization of collagen,SIGN
710,Acromicric Dysplasia,RAREDISEASE,Produces,chondrocytes high number,SIGN
711,Agammaglobulinemia,RAREDISEASE,Is_a,inherited immune deficiencies,DISEASE
712,Agammaglobulinemia,RAREDISEASE,Produces,low concentration of antibodies in the blood,SIGN
713,Agammaglobulinemia,RAREDISEASE,Produces,lack of particular lymphocytes in the blood,SIGN
714,Agammaglobulinemia,RAREDISEASE,Produces,ack of particular lymphocytes in the lymph,SIGN
715,Agammaglobulinemia,RAREDISEASE,Produces,precursor cells that produce gammaglobulins fail,SIGN
716,Agammaglobulinemia,RAREDISEASE,Produces,the deficiency in the number of B cells,SIGN
717,Primary Agammaglobulinemia,RAREDISEASE,Anaphora,this disorder,ANAPHOR
718,Autosomal dominant porencephaly type I,RAREDISEASE,Anaphora,the disorder,ANAPHOR
719,Autosomal dominant porencephaly type I,RAREDISEASE,Anaphora,this disorder.,ANAPHOR
720,Angelman syndrome,RAREDISEASE,Anaphora,the disorder,ANAPHOR
721,Biotinidase deficiency,SKINRAREDISEASE,Produces,Biotinidase deficiency,SIGN
722,Biotinidase deficiency,SKINRAREDISEASE,Anaphora,the disease,ANAPHOR
723,BTD,SKINRAREDISEASE,Is_acron,Biotinidase deficiency,SKINRAREDISEASE
724,ASVD,RAREDISEASE,Is_acron,Atrioventricular septal defect,RAREDISEASE
725,ASVDs,RAREDISEASE,Produces,improperly developed atrial and ventricular septa and adjoining valves,SIGN
726,ASVD,RAREDISEASE,Produces,abnormal EKG reading,SIGN
727,Asherman's syndrome,RAREDISEASE,Is_a,"acquired, gynecological disorder",DISEASE
728,Asherman's syndrome,RAREDISEASE,Produces,changes in the menstrual cycle,SIGN
729,Asherman's syndrome,RAREDISEASE,Produces,reduced menstrual flow,SIGN
730,Asherman's syndrome,RAREDISEASE,Produces,increased cramping,SIGN
731,Asherman's syndrome,RAREDISEASE,Produces,abdominal pain,SYMPTOM
732,Asherman's syndrome,RAREDISEASE,Produces,amenorrhea,SIGN
733,Asherman's syndrome,RAREDISEASE,Produces,infertility,SIGN
734,Asherman's syndrome,RAREDISEASE,Produces,endometriosis,SIGN
735,Asherman's syndrome,RAREDISEASE,Produces,synechiae,SIGN
736,Asherman's syndrome,RAREDISEASE,Anaphora,this syndrome,ANAPHOR
737,Megaloblastic anemia,DISEASE,Produces,megaloblasts bone marrow produces,SIGN
738,Anemia,DISEASE,Produces,"low levels of circulating, red blood cells",SIGN
739,Anemia,DISEASE,Produces,"deficiency in healthy, fully-matured red blood cells",SIGN
740,Anemia,DISEASE,Produces,fatigue,SYMPTOM
741,Anemia,DISEASE,Produces,pallor,SIGN
742,Anemia,DISEASE,Produces,lightheadedness,SYMPTOM
743,megaloblastic anemia,DISEASE,Produces,asymptomatic,SYMPTOM
744,megaloblastic anemia,DISEASE,Produces,"large, misshapen red blood cells",SIGN
745,cobalamin deficiency,DISEASE,Increases_risk_of,megaloblastic anemia,DISEASE
746,folate deficiency,DISEASE,Increases_risk_of,megaloblastic anemia,DISEASE
747,Blue diaper syndrome,RAREDISEASE,Is_a,genetic metabolic disorder,DISEASE
748,Blue diaper syndrome,RAREDISEASE,Produces,digestive disturbances,SIGN
749,Blue diaper syndrome,RAREDISEASE,Produces,fever,SIGN
750,Blue diaper syndrome,RAREDISEASE,Produces,irritability,SIGN
751,Blue diaper syndrome,RAREDISEASE,Produces,visual difficulties,SIGN
752,blue diaper syndrome,RAREDISEASE,Increases_risk_of,kidney disease,DISEASE
753,blue diaper syndrome,RAREDISEASE,Anaphora,this disorder,ANAPHOR
754,Blue diaper syndrome,RAREDISEASE,Is_a,metabolic disorder,DISEASE
755,Blue diaper syndrome,RAREDISEASE,Anaphora,the disorder,ANAPHOR
756,blue diaper syndrome,RAREDISEASE,Produces,indicanuria,SIGN
757,Autoimmune polyglandular syndrome type 1,RAREDISEASE,Is_a,recessively inherited disorder,DISEASE
758,Autoimmune polyglandular syndrome type 1,RAREDISEASE,Produces,immune-cell dysfunction,SIGN
759,Autoimmune polyglandular syndrome type 1,RAREDISEASE,Produces,multiple autoimmunities,SIGN
760,Autoimmune polyglandular syndrome type 1,RAREDISEASE,Anaphora,It,ANAPHOR
761,APS-1,RAREDISEASE,Is_acron,Autoimmune polyglandular syndrome type 1,RAREDISEASE
762,It,ANAPHOR,Produces,life-threatening endocrine gland dysfunctions,SIGN
763,It,ANAPHOR,Produces,gastrointestinal dysfunctions,SIGN
764,APS-1,RAREDISEASE,Is_a,Autoimmune disorders,DISEASE
765,APS-I,RAREDISEASE,Is_a,autoimmune disease,DISEASE
766,APS-I,RAREDISEASE,Anaphora,it,ANAPHOR
767,Brown Syndrome,RAREDISEASE,Is_a,eye disorder,DISEASE
768,Brown Syndrome,RAREDISEASE,Produces,defects in eye movements,SIGN
769,Brown Syndrome,RAREDISEASE,Anaphora,This disorder,ANAPHOR
770,Brown Syndrome,RAREDISEASE,Produces,abnormalities of this tendon sheath,SIGN
771,Brown Syndrome,RAREDISEASE,Produces,tendon sheath shortening,SIGN
772,Brown Syndrome,RAREDISEASE,Produces,tendon sheath thickening,SIGN
773,Brown Syndrome,RAREDISEASE,Produces,tendon sheath inflammation,SIGN
774,Brown Syndrome,RAREDISEASE,Produces,inability to move the affected eye upward,SIGN
775,Brown Syndrome,RAREDISEASE,Produces,limited eye movement in the affected eye,SIGN
776,Brown Syndrome,RAREDISEASE,Produces,ability to move the eyeball restricted or absent,SIGN
777,Brown Syndrome,RAREDISEASE,Produces,ptosis,SIGN
778,Brown Syndrome,RAREDISEASE,Produces,palpebral fissure,SIGN
779,Brown Syndrome,RAREDISEASE,Produces,strabismus,SIGN
780,Brown Syndrome,RAREDISEASE,Produces,backward head tilt,SIGN
781,Brown Syndrome,RAREDISEASE,Produces,hypotropia,SIGN
782,inability to move the affected eye upward,SIGN,Is_a,backward head tilt,SIGN
783,the disorder,ANAPHOR,Produces,mental retardation,SIGN
784,the disorder,ANAPHOR,Produces,hypotonia,SIGN
785,the disorder,ANAPHOR,Produces,growth retardation,SIGN
786,the disorder,ANAPHOR,Produces,epeated infections during the first years of life,SIGN
787,the disorder,ANAPHOR,Produces,malformations of the skull and facial (craniofacial) region,SIGN
788,the disorder,ANAPHOR,Produces,microcephaly,SIGN
789,the disorder,ANAPHOR,Produces,ocular hypertelorism,SIGN
790,the disorder,ANAPHOR,Produces,epicanthal folds,SIGN
791,Chromosome 18 Ring,RAREDISEASE,Anaphora,The disorder,ANAPHOR
792,Antley-Bixler syndrome,RAREDISEASE,Is_a,genetic disorder,DISEASE
793,Antley-Bixler syndrome,RAREDISEASE,Produces,structural changes of the skull,SIGN
794,Antley-Bixler syndrome,RAREDISEASE,Produces,structural changes bones of the face,SIGN
795,Antley-Bixler syndrome,RAREDISEASE,Produces,skeletal abnormalities,SIGN
796,Antley-Bixler syndrome,RAREDISEASE,Anaphora,The disorder,ANAPHOR
797,Antley-Bixler syndrome,RAREDISEASE,Produces,prominent forehead,SIGN
798,Antley-Bixler syndrome,RAREDISEASE,Produces,low-set ears,SIGN
799,Antley-Bixler syndrome,RAREDISEASE,Anaphora,This condition,ANAPHOR
800,Antley-Bixler syndrome,RAREDISEASE,Anaphora,the condition,ANAPHOR
801,The disorder,ANAPHOR,Produces,craniosynostosis,SIGN
802,The disorder,ANAPHOR,Produces,proptosis,SIGN
803,COPA syndrome,RAREDISEASE,Anaphora,this disorder,ANAPHOR
804,COPA syndrome,RAREDISEASE,Anaphora,this disorder,ANAPHOR
805,COPA syndrome,RAREDISEASE,Anaphora,this disorder,ANAPHOR
806,Central pain syndrome,RAREDISEASE,Produces,pain,SYMPTOM
807,stroke,DISEASE,Increases_risk_of,central pain,RAREDISEASE
808,spinal cord injury,RAREDISEASE,Increases_risk_of,central pain,RAREDISEASE
809,multiple sclerosis,DISEASE,Increases_risk_of,central pain,RAREDISEASE
810,central pain,RAREDISEASE,Produces,pain,SYMPTOM
811,Chromosome 6 Ring,RAREDISEASE,Anaphora,the chromosomal abnormality,ANAPHOR
812,the chromosomal abnormality,ANAPHOR,Produces,growth retardation,SIGN
813,the chromosomal abnormality,ANAPHOR,Produces,mental retardation,SIGN
814,the chromosomal abnormality,ANAPHOR,Produces,abnormalities of the skull and facial (craniofacial) region,SIGN
815,the chromosomal abnormality,ANAPHOR,Produces,microcephaly,SIGN
816,the chromosomal abnormality,ANAPHOR,Produces,malformed or low-set ears,SIGN
817,the chromosomal abnormality,ANAPHOR,Produces,micrognathia,SIGN
818,the chromosomal abnormality,ANAPHOR,Produces,Eye defects,SIGN
819,the chromosomal abnormality,ANAPHOR,Produces,ptosis,SIGN
820,the chromosomal abnormality,ANAPHOR,Produces,strabismus,SIGN
821,CCAL2,RAREDISEASE,Produces,"acute, recurring attacks of pain",SYMPTOM
822,CCAL2,RAREDISEASE,Produces,swelling warmth and redness in one or more joints,SIGN
823,CCAL2,RAREDISEASE,Produces,swelling,SIGN
824,CCAL2,RAREDISEASE,Produces,pain,SYMPTOM
825,CCAL2,RAREDISEASE,Produces,little or no inflammation,SIGN
826,CCAL2,RAREDISEASE,Produces,Calcium pyrophosphate (CPP) crystal deposits around the vertebrae,SIGN
827,CCAL2,RAREDISEASE,Produces,back pain,SYMPTOM
828,CCAL2,RAREDISEASE,Produces,back pain,SYMPTOM
829,CCAL2,RAREDISEASE,Produces,loss of mobility,SIGN
830,CPDD,RAREDISEASE,Produces,chronic arthritis,SIGN
831,Cutaneous necrotizing vasculitis,SKINRAREDISEASE,Produces,inflammation of the blood vessel walls,SIGN
832,Cutaneous necrotizing vasculitis,SKINRAREDISEASE,Produces,skin lesions,SIGN
833,Cutaneous necrotizing vasculitis,SKINRAREDISEASE,Produces,macules,SIGN
834,Cutaneous necrotizing vasculitis,SKINRAREDISEASE,Produces,nodules,SIGN
835,Cutaneous necrotizing vasculitis,SKINRAREDISEASE,Produces,purpura,SIGN
836,Cutaneous necrotizing vasculitis,SKINRAREDISEASE,Produces,scarring,SIGN
837,Cutaneous necrotizing vasculitis,SKINRAREDISEASE,Produces,wheel-like lesions,SIGN
838,Cutaneous necrotizing vasculitis,SKINRAREDISEASE,Produces,urticaria,SIGN
839,Cutaneous necrotizing vasculitis,SKINRAREDISEASE,Produces,ring-shaped lesions,SIGN
840,Cutaneous necrotizing vasculitis,SKINRAREDISEASE,Produces,ulcers,SIGN
841,Cutaneous necrotizing vasculitis,SKINRAREDISEASE,Produces,vesicles,SIGN
842,Cutaneous necrotizing vasculitis,SKINRAREDISEASE,Produces,bullae,SIGN
843,Cutaneous necrotizing vasculitis,SKINRAREDISEASE,Produces,malaise,SYMPTOM
844,Cutaneous necrotizing vasculitis,SKINRAREDISEASE,Produces,muscle pain,SYMPTOM
845,Cutaneous necrotizing vasculitis,SKINRAREDISEASE,Produces,joint pain,SYMPTOM
846,Cutaneous necrotizing vasculitis,SKINRAREDISEASE,Anaphora,It,ANAPHOR
847,CNV,SKINRAREDISEASE,Is_a,inflammatory vascular disorders,DISEASE
848,CNV,SKINRAREDISEASE,Produces,vasculitides,SIGN
849,"Chromosome 11, Partial Trisomy 11q",RAREDISEASE,Is_a,chromosomal disorder,DISEASE
850,"Chromosome 11, Partial Trisomy 11q",RAREDISEASE,Anaphora,the disorder,ANAPHOR
851,the disorder,ANAPHOR,Produces,prenatal growth retardation,SIGN
852,the disorder,ANAPHOR,Produces,postnatal growth retardation,SIGN
853,the disorder,ANAPHOR,Produces,mental retardation,SIGN
854,the disorder,ANAPHOR,Produces,abnormalities of the skull and facial (craniofacial) region,SIGN
855,"Chromosome 11, Partial Trisomy 11q",RAREDISEASE,Anaphora,this disorder,ANAPHOR
856,Carnitine palmitoyltransferase 1A deficiency,RAREDISEASE,Produces,liver failure,SIGN
857,Carnitine palmitoyltransferase 1A deficiency,RAREDISEASE,Produces,hepatic encephalopathy,SIGN
858,CPT1A,RAREDISEASE,Is_acron,Carnitine palmitoyltransferase 1A deficiency,RAREDISEASE
859,CPT1A deficiency,RAREDISEASE,Produces,production of an abnormally functioning carnitine palmitoyltransferase 1 enzyme,SIGN
860,CPT1A deficiency,RAREDISEASE,Produces,decreased metabolism of long-chain fatty acids,SIGN
861,CPT1A deficiency,RAREDISEASE,Is_a,autosomal recessive genetic disorder,DISEASE
862,hepatic encephalopathy,DISEASE,Produces,low level of ketones in the blood,SIGN
863,hepatic encephalopathy,DISEASE,Produces,hypoglycemia,SIGN
864,hepatic encephalopathy,DISEASE,Produces,enlarged liver,SIGN
865,hepatic encephalopathy,DISEASE,Produces,muscle weakness,SIGN
866,hepatic encephalopathy,DISEASE,Produces,elevated carnitine in the blood,SIGN
867,adult-onset myopathy,DISEASE,Produces,myopathy,SIGN
868,adult-onset myopathy,DISEASE,Produces,sudden onset of muscle cramping associated with exercise,SIGN
869,CPT1A deficiency,RAREDISEASE,Anaphora,this condition,ANAPHOR
870,CPT1A deficiency,RAREDISEASE,Anaphora,This condition,ANAPHOR
871,CPT1A deficiency,RAREDISEASE,Produces,low levels of ketones,SIGN
872,CPT1A deficiency,RAREDISEASE,Produces,elevated liver transaminases,SIGN
873,CPT1A deficiency,RAREDISEASE,Produces,elevated total serum carnitine,SIGN
874,CPT1A deficiency,RAREDISEASE,Produces,CPT1A enzyme activity 1-5% of normal,SIGN
875,Coats disease,RAREDISEASE,Anaphora,the disease,ANAPHOR
876,Dercum’s disease,RAREDISEASE,Anaphora,it,ANAPHOR
877,Dercum’s disease,RAREDISEASE,Anaphora,The disorder,ANAPHOR
878,Bronchiolitis obliterans organizing pneumonia,RAREDISEASE,Is_a,inflammatory lung disorder,DISEASE
879,Bronchiolitis obliterans organizing pneumonia,RAREDISEASE,Produces,symptoms such as flu-like illness,SIGN
880,Bronchiolitis obliterans organizing pneumonia,RAREDISEASE,Produces,cough,SIGN
881,Bronchiolitis obliterans organizing pneumonia,RAREDISEASE,Produces,shortness of breath,SIGN
882,Bronchiolitis obliterans organizing pneumonia,RAREDISEASE,Produces,Wheezing,SIGN
883,Bronchiolitis obliterans organizing pneumonia,RAREDISEASE,Produces,hemoptysis,SIGN
884,Bronchiolitis obliterans organizing pneumonia,RAREDISEASE,Produces,bronchiolitis obliterans,SIGN
885,Bronchiolitis obliterans organizing pneumonia,RAREDISEASE,Produces,Organizing pneumonia,SIGN
886,BOOP,RAREDISEASE,Is_acron,Bronchiolitis obliterans organizing pneumonia,RAREDISEASE
887,bronchiolitis obliterans,SIGN,Produces,Organizing pneumonia,DISEASE
888,bronchiolitis obliterans,SIGN,Produces,BOOP,RAREDISEASE
889,it,ANAPHOR,Is_a,inflammatory lung disorders,DISEASE
890,BOOP,RAREDISEASE,Anaphora,It,ANAPHOR
891,Cervical dystonia,RAREDISEASE,Is_a,neurological disorder,DISEASE
892,Cervical dystonia,RAREDISEASE,Anaphora,It,ANAPHOR
893,spasmodic torticollis,RAREDISEASE,Is_synon,Cervical dystonia,RAREDISEASE
894,It,ANAPHOR,Is_a,focal dystonia,RAREDISEASE
895,Cervical dystonia,RAREDISEASE,Produces,muscle contractions in the neck,SIGN
896,Cervical dystonia,RAREDISEASE,Produces,abnormal postures of the neck and head,SIGN
897,Cervical dystonia,RAREDISEASE,Produces,spasms,SIGN
898,Cervical dystonia,RAREDISEASE,Produces,tremor,SIGN
899,cervical dystonia,RAREDISEASE,Anaphora,the disorder,ANAPHOR
900,cervical dystonia,RAREDISEASE,Anaphora,It,ANAPHOR
901,the disorder,ANAPHOR,Produces,pain,SYMPTOM
902,the disorder,ANAPHOR,Produces,discomfort,SYMPTOM
903,the disorder,ANAPHOR,Produces,difficulty,SYMPTOM
904,the disorder,ANAPHOR,Produces,abnormal postures,SIGN
905,Cervical dystonia,RAREDISEASE,Anaphora,It,ANAPHOR
906,It,ANAPHOR,Is_a,focal dystonia,RAREDISEASE
907,cervical dystonia,RAREDISEASE,Produces,nerve irritation,SIGN
908,Balantidiasis,RAREDISEASE,Is_a,intestinal infection,DISEASE
909,Balantidiasis,RAREDISEASE,Produces,mild diarrhea,SIGN
910,Balantidiasis,RAREDISEASE,Produces,abdominal discomfort,SYMPTOM
911,Balantidiasis,RAREDISEASE,Produces,acute inflammation of the intestines,SIGN
912,Balantidiasis,RAREDISEASE,Produces,intestinal inflammation,SIGN
913,Balantidiasis,RAREDISEASE,Produces,amoebic dysentery,SIGN
914,Balantidiasis,RAREDISEASE,Produces,asymptomatic,SYMPTOM
915,Balantidiasis,RAREDISEASE,Produces,high temperatures,SIGN
916,Balantidiasis,RAREDISEASE,Produces,nausea,SYMPTOM
917,Balantidiasis,RAREDISEASE,Produces,abdominal pain,SYMPTOM
918,Balantidiasis,RAREDISEASE,Produces,bloody diarrhea,SIGN
919,Balantidiasis,RAREDISEASE,Produces,dehydration,SIGN
920,Balantidiasis,RAREDISEASE,Produces,prostration,SYMPTOM
921,Balantidiasis,RAREDISEASE,Produces,ulceration,SIGN
922,Balantidiasis,RAREDISEASE,Produces,ulcers,SIGN
923,Balantidiasis,RAREDISEASE,Produces,peritonitis,SIGN
924,Balantidiasis,RAREDISEASE,Is_a,infectious diseas,DISEASE
925,Balantidiasis,RAREDISEASE,Anaphora,this disease,ANAPHOR
926,Corneal dystrophies,RAREDISEASE,Is_a,"genetic, often progressive, eye disorders",DISEASE
927,Corneal dystrophies,RAREDISEASE,Produces,cornea material often accumulates in the,SIGN
928,Corneal dystrophies,RAREDISEASE,Produces,vision impairment,SIGN
929,corneal dystrophy,RAREDISEASE,Anaphora,The disorders,ANAPHOR
930,corneal dystrophies,RAREDISEASE,Anaphora,these disorders,ANAPHOR
931,these disorders,ANAPHOR,Produces,asymptomatic,SYMPTOM
932,CTD,RAREDISEASE,Is_a,X-linked intellectual disabilities,DISEASE
933,CTD,RAREDISEASE,Anaphora,It,ANAPHOR
934,It,ANAPHOR,Is_a,cerebral creatine deficiency syndromes,DISEASE
935,Complete DiGeorge syndrome,RAREDISEASE,Anaphora,f this disorder,ANAPHOR
936,CCDS,RAREDISEASE,Produces,cerebral palsy,DISEASE
937,CCDS,RAREDISEASE,Produces,autism,DISEASE
938,CCDS,RAREDISEASE,Is_acron,CCDS,RAREDISEASE
939,cerebral folate deficiency,RAREDISEASE,Anaphora,this condition,ANAPHOR
940,"Chromosome 3, Monosomy 3p",RAREDISEASE,Is_a,chromosomal disorder,DISEASE
941,"Chromosome 3, Monosomy 3p",RAREDISEASE,Produces,prenatal growth deficiency,SIGN
942,"Chromosome 3, Monosomy 3p",RAREDISEASE,Produces,postnatal growth deficiency,SIGN
943,"Chromosome 3, Monosomy 3p",RAREDISEASE,Produces,severe to profound mental retardation,SIGN
944,"Chromosome 3, Monosomy 3p",RAREDISEASE,Produces,distinctive malformations of the skull and facial (craniofacial) region,SIGN
945,"Chromosome 3, Monosomy 3p",RAREDISEASE,Produces,synophrys,SIGN
946,"Chromosome 3, Monosomy 3p",RAREDISEASE,Produces,physical abnormalities,SIGN
947,"Chromosome 3, Monosomy 3p",RAREDISEASE,Anaphora,the disorder,ANAPHOR
948,Campomelic syndrome,RAREDISEASE,Is_a,congenital disorder,DISEASE
949,Campomelic syndrome,RAREDISEASE,Anaphora,It,ANAPHOR
950,It,ANAPHOR,Produces,bowing of the long bones of the legs,SIGN
951,It,ANAPHOR,Produces,angular shape of the long bones of the legs,SIGN
952,It,ANAPHOR,Produces,multiple minor anomalies of the face,SIGN
953,It,ANAPHOR,Produces,cleft palate,SIGN
954,It,ANAPHOR,Produces,skeletal anomalies,SIGN
955,It,ANAPHOR,Produces,abnormalities of the pelvic,SIGN
956,It,ANAPHOR,Produces,eleven pairs of ribs,SIGN
957,It,ANAPHOR,Produces,underdevelopment of the trachea,SIGN
958,It,ANAPHOR,Produces,developmental delay,SIGN
959,It,ANAPHOR,Produces,incomplete development of genitalia in males,SIGN
960,Campomelic syndrome,RAREDISEASE,Anaphora,this disorder,ANAPHOR
961,Campomelic syndrome,RAREDISEASE,Anaphora,this disorder,ANAPHOR
962,this disorder,ANAPHOR,Produces,sex reversal,SIGN
963,CBPS,RAREDISEASE,Is_a,neurological disorder,DISEASE
964,CBPS,RAREDISEASE,Anaphora,The disorder,ANAPHOR
965,CBPS,RAREDISEASE,Produces,epilepsy,SIGN
966,CBPS,RAREDISEASE,Produces,atypical absence seizures,SIGN
967,CBPS,RAREDISEASE,Produces,atonic-tonic seizures,SIGN
968,Pneumothorax,DISEASE,Produces,collapsed lung,SIGN
969,catamenial pneumothorax,RAREDISEASE,Produces,endometriosis,SIGN
970,catamenial pneumothorax,RAREDISEASE,Produces,pneumothorax,SIGN
971,desmoid tumor,RAREDISEASE,Produces,spindle cells of desmoid tumors appear to be myofibroblasts,SIGN
972,desmoid tumor,RAREDISEASE,Produces,abnormal proliferation of myofibroblasts,SIGN
973,desmoid tumors,RAREDISEASE,Produces,nuclear accumulation of beta-catenin,SIGN
974,"Chromosome 3, Trisomy 3q2",RAREDISEASE,Is_a,chromosomal disorder,DISEASE
975,"Chromosome 3, Trisomy 3q2",RAREDISEASE,Produces,developmental delays,SIGN
976,"Chromosome 3, Trisomy 3q2",RAREDISEASE,Produces,mental retardation,SIGN
977,"Chromosome 3, Trisomy 3q2",RAREDISEASE,Produces,characteristic abnormalities of the head and facial (craniofacial) area,SIGN
978,"Chromosome 3, Trisomy 3q2",RAREDISEASE,Produces,distinctive facial appearance,SIGN
979,"Chromosome 3, Trisomy 3q2",RAREDISEASE,Produces,craniofacial abnormalities,SIGN
980,"Chromosome 3, Trisomy 3q2",RAREDISEASE,Produces,brachycephaly,SIGN
981,"Chromosome 3, Trisomy 3q2",RAREDISEASE,Produces,ocular hypertelorism,SIGN
982,"Chromosome 3, Trisomy 3q2",RAREDISEASE,Produces,palpebral fissures,SIGN
983,"Chromosome 3, Trisomy 3q2",RAREDISEASE,Produces,anteverted nares,SIGN
984,"Chromosome 3, Trisomy 3q2",RAREDISEASE,Produces,long eyelashes,SIGN
985,"Chromosome 3, Trisomy 3q2",RAREDISEASE,Produces,"arched, bushy, well-defined eyebrows that grow together",SIGN
986,"Chromosome 3, Trisomy 3q2",RAREDISEASE,Produces,synophrys,SIGN
987,"Chromosome 3, Trisomy 3q2",RAREDISEASE,Produces,hirsutism,SIGN
988,"Chromosome 3, Trisomy 3q2",RAREDISEASE,Produces,eye abnormalities,SIGN
989,"Chromosome 3, Trisomy 3q2",RAREDISEASE,Produces,limb defects,SIGN
990,"Chromosome 3, Trisomy 3q2",RAREDISEASE,Produces,congenital heart defects,SIGN
991,"Chromosome 3, Trisomy 3q2",RAREDISEASE,Produces,physical features,SIGN
992,"Chromosome 3, Trisomy 3q",RAREDISEASE,Anaphora,The disorder,ANAPHOR
993,Cockayne Syndrome,SKINRAREDISEASE,Anaphora,It,ANAPHOR
994,Cockayne Syndrome,SKINRAREDISEASE,Anaphora,the disease,ANAPHOR
995,CS,SKINRAREDISEASE,Is_acron,Cockayne Syndrome,SKINRAREDISEASE
996,It,ANAPHOR,Is_a,inherited disorder,DISEASE
997,It,ANAPHOR,Produces,growth retardation,SIGN
998,It,ANAPHOR,Produces,short stature,SIGN
999,It,ANAPHOR,Produces,photosensitivity,SIGN
1000,It,ANAPHOR,Produces,progeria,SIGN
1001,classical form of Cockayne Syndrome,SKINRAREDISEASE,Is_a,It,ANAPHOR
1002,CS type I,SKINRAREDISEASE,Is_acron,classical form of Cockayne Syndrome,SKINRAREDISEASE
1003,Cockayne Syndrome Type III,SKINRAREDISEASE,Is_a,the disease,ANAPHOR
1004,CS type III,SKINRAREDISEASE,Is_acron,Cockayne Syndrome Type III,SKINRAREDISEASE
1005,Xeroderma pigmentosa-Cockayne syndrome,SKINRAREDISEASE,Is_a,the disease,ANAPHOR
1006,XP-CS,SKINRAREDISEASE,Is_acron,Xeroderma pigmentosa-Cockayne syndrome,SKINRAREDISEASE
1007,BPD,RAREDISEASE,Produces,distinctive changes in the lungs,SIGN
1008,BPD,RAREDISEASE,Produces,abnormal development of the lungs,SIGN
1009,BPD,RAREDISEASE,Produces,breathing difficulties in infants,SIGN
1010,congenital heart defects,DISEASE,Produces,breathing difficulties in infants,SIGN
1011,Cronkhite-Canada syndrome,SKINRAREDISEASE,Produces,intestinal polyps,SIGN
1012,Cronkhite-Canada syndrome,SKINRAREDISEASE,Produces,loss of taste,SYMPTOM
1013,Cronkhite-Canada syndrome,SKINRAREDISEASE,Produces,hair loss,SIGN
1014,Cronkhite-Canada syndrome,SKINRAREDISEASE,Produces,nail growth problems,SIGN
1015,Cronkhite-Canada syndrome,SKINRAREDISEASE,Anaphora,It,ANAPHOR
1016,CCS,SKINRAREDISEASE,Is_acron,Cronkhite-Canada syndrome,SKINRAREDISEASE
1017,It,ANAPHOR,Produces,malabsorption,SIGN
1018,CCS,SKINRAREDISEASE,Anaphora,It,ANAPHOR
1019,Cronkhite-Canada syndrome,SKINRAREDISEASE,Anaphora,It,ANAPHOR
1020,"Chromosome 4, Trisomy 4p",RAREDISEASE,Is_a,chromosomal disorder,DISEASE
1021,"Chromosome 4, Trisomy 4p",RAREDISEASE,Produces,feeding difficulties,SIGN
1022,"Chromosome 4, Trisomy 4p",RAREDISEASE,Produces,characteristic malformations of the head and facial (craniofacial) area,SIGN
1023,"Chromosome 4, Trisomy 4p",RAREDISEASE,Produces,abnormalities of the hands,SIGN
1024,"Chromosome 4, Trisomy 4p",RAREDISEASE,Produces,abnormalities of the feet,SIGN
1025,Trisomy 4p,RAREDISEASE,Produces,severe mental retardation,SIGN
1026,Trisomy 4p,RAREDISEASE,Is_synon,"Chromosome 4, Trisomy 4p",RAREDISEASE
1027,Trisomy for the short arm of chromosome 4,RAREDISEASE,Is_synon,"Chromosome 4, Trisomy 4p",RAREDISEASE
1028,Trisomy for the short arm of chromosome 4,RAREDISEASE,Anaphora,the syndrome,ANAPHOR
1029,CIDP,RAREDISEASE,Produces,symmetric proximal and distal weakness,SYMPTOM
1030,CIDP,RAREDISEASE,Produces,reduced or absent tendon reflexes,SIGN
1031,CIDP,RAREDISEASE,Produces,inflammation,SIGN
1032,Dengue Fever,RAREDISEASE,Is_a,acute viral infection,DISEASE
1033,Dengue Fever,RAREDISEASE,Produces,fever,SIGN
1034,Dengue Fever,RAREDISEASE,Anaphora,It,ANAPHOR
1035,Dengue Fever,RAREDISEASE,Produces,skin rash,SIGN
1036,Dengue Fever,RAREDISEASE,Produces,high fever,SIGN
1037,Dengue Fever,RAREDISEASE,Produces,severe pain in the head,SYMPTOM
1038,Dengue Fever,RAREDISEASE,Produces,severe pain in the muscles,SYMPTOM
1039,Dengue Fever,RAREDISEASE,Produces,shaking chills,SYMPTOM
1040,Dengue Fever,RAREDISEASE,Produces,diarrhea,SIGN
1041,Dengue Fever,RAREDISEASE,Produces,extreme exhaustion,SYMPTOM
1042,Dengue Fever,RAREDISEASE,Anaphora,it,ANAPHOR
1043,Candida Albicans,RAREDISEASE,Is_a,harmless yeast infection,DISEASE
1044,yeast infection,DISEASE,Is_synon,Candida infection,DISEASE
